ID_Institution,PIC
1581,999641358
1237,999472675
1238,999472675
1239,999472675
1242,999992789
1243,999625644
1252,999979500
1254,999979500
1616,999979500
1255,999979500
1256,999979500
1257,999979500
1258,999979500
1259,999979500
1260,999979500
1272,
1273,
1579,
1497,
1307,
1331,
1344,999468310
1367,999939051
1578,
1555,999993953
1397,
1554,999841663
1401,
1634,
1413,999895789
1414,
1638,
1553,999855243
1431,
1528,888897003
1434,
1550,999734284
1435,
1580,
1437,
1460,999899281
1296,
1582,999533882
1583,
1098,
1159,
1184,999904422
1190,
1522,985074383
1532,888896929
1423,
1619,
1430,
1017,
1584,
1374,
1527,
1429,
1064,
1074,
1157,
1198,
1202,
1507,
1214,
1506,
1233,
1251,
1311,
1312,
1586,
1314,
1315,
1345,
1585,
1467,
1010,998425560
1016,999008225
1018,
1038,
1039,
1099,
1475,
1123,999466758
1131,966518477
1164,
1166,
1183,996641051
1589,
1269,963474423
1270,
1275,
1588,
1276,
1617,
1277,
1614,
1278,
1279,
1639,
1280,
1281,
1319,
1325,
1326,
1327,
1328,
1382,998225449
1545,
1393,
1394,
1395,
1396,
1432,
1456,
1457,
1458,
1466,
1115,
1201,997394450
1203,
1590,
1247,
1514,
1294,
1295,
1537,
1415,
1517,
1075,
1148,
1593,
1592,
1165,
1665,
1169,953379924
1608,999992983
1170,
1171,997223536
1192,
1504,
1611,910670048
1623,
1241,
1244,998850517
1245,
1299,
1305,
1358,
1370,
1591,
1387,
1388,
1390,
1425,
1426,
1436,
1450,998175688
1451,
1468,999543485
1031,
1235,
1240,
1023,
1124,995575991
1341,
1346,
1471,
1347,
1510,
1351,
1512,996675583
1353,
1354,
1355,
1373,
1599,999881821
1377,
1526,
1417,
1418,
1463,
1464,
1465,
1472,
1236,
1032,
1041,
1071,
1117,
1167,998331664
1175,
1176,
1182,
1595,999643492
1212,
1213,
1308,
1643,
1371,
1594,
1376,
1405,999851072
1216,
1029,
1519,997769161
1217,
1250,
1596,
